get | время выполнения - 1.052621603012085 секунд
get | время выполнения - 0.754164457321167 секунд
get | время выполнения - 0.33210182189941406 секунд
get | время выполнения - 0.36312437057495117 секунд
get | время выполнения - 0.7330057621002197 секунд
get | время выполнения - 0.7060186862945557 секунд
get | время выполнения - 0.3161776065826416 секунд
get | время выполнения - 1.0749669075012207 секунд
get | время выполнения - 0.6355111598968506 секунд
get | время выполнения - 0.35239648818969727 секунд
get | время выполнения - 0.671436071395874 секунд
get | время выполнения - 0.5478792190551758 секунд
get | время выполнения - 0.7768697738647461 секунд
get | время выполнения - 0.1405181884765625 секунд
get | время выполнения - 0.36063313484191895 секунд
get | время выполнения - 0.6409075260162354 секунд
get | время выполнения - 0.3828434944152832 секунд
get | время выполнения - 0.6086993217468262 секунд
get | время выполнения - 0.4291670322418213 секунд
get | время выполнения - 0.23695063591003418 секунд
get | время выполнения - 0.29387831687927246 секунд
get | время выполнения - 0.6761584281921387 секунд
get | время выполнения - 0.5130512714385986 секунд
get | время выполнения - 0.30230045318603516 секунд
get | время выполнения - 0.21077871322631836 секунд
get | время выполнения - 0.20298385620117188 секунд
get | время выполнения - 0.211320161819458 секунд
get | время выполнения - 0.3431727886199951 секунд
get | время выполнения - 0.3345322608947754 секунд
get | время выполнения - 1.0354015827178955 секунд
get | время выполнения - 0.350322961807251 секунд
get | время выполнения - 0.3951237201690674 секунд
get | время выполнения - 0.584744930267334 секунд
get | время выполнения - 2.8960893154144287 секунд
get | время выполнения - 0.37497615814208984 секунд
get | время выполнения - 0.3997178077697754 секунд
get | время выполнения - 0.33316802978515625 секунд
get | время выполнения - 0.2977116107940674 секунд
get | время выполнения - 0.9083337783813477 секунд
get | время выполнения - 0.544330358505249 секунд
get | время выполнения - 0.3285825252532959 секунд
get | время выполнения - 0.438795804977417 секунд
get | время выполнения - 0.6147732734680176 секунд
get | время выполнения - 0.347947359085083 секунд
get | время выполнения - 0.41162753105163574 секунд
get | время выполнения - 0.4696035385131836 секунд
get | время выполнения - 0.3488147258758545 секунд
get | время выполнения - 0.48662424087524414 секунд
get | время выполнения - 0.5980188846588135 секунд
get | время выполнения - 0.5533015727996826 секунд
get | время выполнения - 0.23993325233459473 секунд
get | время выполнения - 0.41648125648498535 секунд
get | время выполнения - 1.0230953693389893 секунд
get | время выполнения - 0.713284969329834 секунд
get | время выполнения - 0.8314027786254883 секунд
get | время выполнения - 0.3408982753753662 секунд
get | время выполнения - 0.27219629287719727 секунд
get | время выполнения - 0.5360667705535889 секунд
get | время выполнения - 0.3692660331726074 секунд
get | время выполнения - 1.1482443809509277 секунд
get | время выполнения - 0.6007239818572998 секунд
get | время выполнения - 0.6007332801818848 секунд
get | время выполнения - 0.9080593585968018 секунд
get | время выполнения - 0.639268159866333 секунд
get | время выполнения - 0.7255377769470215 секунд
get | время выполнения - 0.6712265014648438 секунд
get | время выполнения - 0.21441912651062012 секунд
get | время выполнения - 0.25574493408203125 секунд
get | время выполнения - 0.778963565826416 секунд
get | время выполнения - 0.17584538459777832 секунд
get | время выполнения - 0.2796015739440918 секунд
get | время выполнения - 0.23715448379516602 секунд
get | время выполнения - 0.2725179195404053 секунд
get | время выполнения - 0.372281551361084 секунд
get | время выполнения - 0.42756009101867676 секунд
get | время выполнения - 0.41048121452331543 секунд
get | время выполнения - 0.27353715896606445 секунд
get | время выполнения - 0.2587099075317383 секунд
get | время выполнения - 0.21768498420715332 секунд
get | время выполнения - 0.14737844467163086 секунд
get | время выполнения - 0.34760189056396484 секунд
get | время выполнения - 0.2469160556793213 секунд
get | время выполнения - 0.4395909309387207 секунд
get | время выполнения - 0.48979783058166504 секунд
get | время выполнения - 0.6663568019866943 секунд
get | время выполнения - 0.8386392593383789 секунд
get | время выполнения - 0.22946834564208984 секунд
get | время выполнения - 0.6563737392425537 секунд
get | время выполнения - 0.2133500576019287 секунд
get | время выполнения - 0.3633580207824707 секунд
get | время выполнения - 0.7165145874023438 секунд
get | время выполнения - 0.7185118198394775 секунд
get | время выполнения - 0.2327132225036621 секунд
get | время выполнения - 0.4485752582550049 секунд
get | время выполнения - 0.4308140277862549 секунд
get | время выполнения - 0.541642427444458 секунд
get | время выполнения - 0.6364314556121826 секунд
get | время выполнения - 0.4118056297302246 секунд
get | время выполнения - 0.23508453369140625 секунд
get | время выполнения - 0.45626211166381836 секунд
get | время выполнения - 0.4064347743988037 секунд
get | время выполнения - 0.7630636692047119 секунд
get | время выполнения - 0.20456361770629883 секунд
get | время выполнения - 0.5725135803222656 секунд
get | время выполнения - 0.4215087890625 секунд
get | время выполнения - 0.19442033767700195 секунд
get | время выполнения - 0.26124119758605957 секунд
get | время выполнения - 0.2684171199798584 секунд
get | время выполнения - 0.19381475448608398 секунд
get | время выполнения - 0.2673351764678955 секунд
get | время выполнения - 0.5577290058135986 секунд
get | время выполнения - 0.38663339614868164 секунд
get | время выполнения - 0.4943232536315918 секунд
get | время выполнения - 0.19858956336975098 секунд
get | время выполнения - 0.40958094596862793 секунд
get | время выполнения - 0.22591257095336914 секунд
get | время выполнения - 0.7591500282287598 секунд
get | время выполнения - 0.21411824226379395 секунд
get | время выполнения - 0.2998809814453125 секунд
get | время выполнения - 0.897564172744751 секунд
get | время выполнения - 0.3699684143066406 секунд
get | время выполнения - 0.9281768798828125 секунд
get | время выполнения - 0.25068235397338867 секунд
get | время выполнения - 0.7782571315765381 секунд
get | время выполнения - 0.7639522552490234 секунд
get | время выполнения - 0.4076988697052002 секунд
get | время выполнения - 0.17803049087524414 секунд
get | время выполнения - 0.26809144020080566 секунд
get | время выполнения - 0.2423112392425537 секунд
get | время выполнения - 0.6299068927764893 секунд
get | время выполнения - 0.553321361541748 секунд
get | время выполнения - 0.3753225803375244 секунд
get | время выполнения - 0.3827855587005615 секунд
get | время выполнения - 0.3913264274597168 секунд
get | время выполнения - 0.44542694091796875 секунд
get | время выполнения - 0.271634578704834 секунд
get | время выполнения - 2.0716936588287354 секунд
get | время выполнения - 0.5812132358551025 секунд
get | время выполнения - 0.22168874740600586 секунд
get | время выполнения - 0.18973207473754883 секунд
get | время выполнения - 0.35449934005737305 секунд
get | время выполнения - 0.4230465888977051 секунд
get | время выполнения - 0.5692582130432129 секунд
get | время выполнения - 0.5989391803741455 секунд
get | время выполнения - 0.2502858638763428 секунд
get | время выполнения - 0.28870224952697754 секунд
get | время выполнения - 0.7101750373840332 секунд
get | время выполнения - 1.127439022064209 секунд
get | время выполнения - 1.1268599033355713 секунд
get | время выполнения - 0.5031583309173584 секунд
get | время выполнения - 0.18389272689819336 секунд
get | время выполнения - 0.4465513229370117 секунд
get | время выполнения - 0.3023989200592041 секунд
get | время выполнения - 0.36257243156433105 секунд
get | время выполнения - 0.7292087078094482 секунд
get | время выполнения - 0.40588855743408203 секунд
get | время выполнения - 0.6781396865844727 секунд
get | время выполнения - 0.5210108757019043 секунд
get | время выполнения - 0.5468854904174805 секунд
get | время выполнения - 0.24831724166870117 секунд
get | время выполнения - 0.5561728477478027 секунд
get | время выполнения - 0.28104591369628906 секунд
get | время выполнения - 0.9393641948699951 секунд
get | время выполнения - 0.41959142684936523 секунд
get | время выполнения - 0.21182584762573242 секунд
get | время выполнения - 0.6705498695373535 секунд
get | время выполнения - 0.23416900634765625 секунд
get | время выполнения - 0.6841180324554443 секунд
get | время выполнения - 0.19615387916564941 секунд
get | время выполнения - 0.20032548904418945 секунд
get | время выполнения - 0.5382664203643799 секунд
get | время выполнения - 0.18306231498718262 секунд
get | время выполнения - 0.591726541519165 секунд
get | время выполнения - 0.5479967594146729 секунд
get | время выполнения - 0.26356959342956543 секунд
get | время выполнения - 0.19321250915527344 секунд
get | время выполнения - 0.1936628818511963 секунд
get | время выполнения - 0.225630521774292 секунд
get | время выполнения - 0.4363126754760742 секунд
get | время выполнения - 0.2662472724914551 секунд
get | время выполнения - 0.22713446617126465 секунд
get | время выполнения - 0.367279052734375 секунд
get | время выполнения - 0.1865694522857666 секунд
get | время выполнения - 0.49842047691345215 секунд
get | время выполнения - 0.32065844535827637 секунд
get | время выполнения - 0.6450574398040771 секунд
get | время выполнения - 0.2044994831085205 секунд
get | время выполнения - 0.3993263244628906 секунд
get | время выполнения - 0.6352696418762207 секунд
